"Libellé";"Taux de chômage localisé par région - Île-de-France";"Codes";"Taux de chômage localisé par région - Centre-Val de Loire";"Codes";"Taux de chômage localisé par région - Pays de la Loire";"Codes";"Taux de chômage localisé par région - Bretagne";"Codes";"Taux de chômage localisé par région - Provence-Alpes-Côte d'Azur";"Codes";"Taux de chômage localisé par région - Corse";"Codes";"Taux de chômage localisé par région - Bourgogne-Franche-Comté";"Codes";"Taux de chômage localisé par région - Hauts-de-France";"Codes";"Taux de chômage localisé par région - Grand Est";"Codes";"Taux de chômage localisé par région - Nouvelle-Aquitaine";"Codes";"Taux de chômage localisé par région - Occitanie";"Codes";"Taux de chômage localisé par région - Auvergne-Rhône-Alpes";"Codes";"Taux de chômage localisé par région - France métropolitaine";"Codes";"Taux de chômage localisé par département - Alpes-de-Haute-Provence";"Codes"
"2006-T2";"8.1";"A";"7.6";"A";"7.3";"A";"7.2";"A";"10.0";"A";"9.2";"A";"7.9";"A";"11.2";"A";"8.7";"A";"8.1";"A";"9.9";"A";"7.4";"A";"8.6";"A";"9.1";"A"
"2006-T1";"8.3";"A";"7.8";"A";"7.5";"A";"7.4";"A";"10.2";"A";"9.2";"A";"8.0";"A";"11.3";"A";"8.8";"A";"8.3";"A";"10.1";"A";"7.5";"A";"8.7";"A";"9.3";"A"
"2005-T4";"8.4";"A";"7.7";"A";"7.3";"A";"7.2";"A";"10.1";"A";"9.2";"A";"7.8";"A";"11.1";"A";"8.6";"A";"8.3";"A";"10.0";"A";"7.5";"A";"8.7";"A";"9.2";"A"
"2005-T3";"8.3";"A";"7.6";"A";"7.3";"A";"7.1";"A";"10.1";"A";"9.3";"A";"7.8";"A";"10.9";"A";"8.5";"A";"8.2";"A";"9.9";"A";"7.5";"A";"8.6";"A";"9.1";"A"
"2005-T2";"8.3";"A";"7.5";"A";"7.2";"A";"7.0";"A";"9.9";"A";"9.3";"A";"7.6";"A";"10.6";"A";"8.2";"A";"8.0";"A";"9.7";"A";"7.4";"A";"8.4";"A";"9.0";"A"
"2005-T1";"8.3";"A";"7.4";"A";"7.0";"A";"6.8";"A";"9.7";"A";"8.9";"A";"7.4";"A";"10.4";"A";"8.0";"A";"7.9";"A";"9.5";"A";"7.2";"A";"8.3";"A";"8.8";"A"
"2004-T4";"8.5";"A";"7.6";"A";"7.2";"A";"6.9";"A";"9.9";"A";"9.4";"A";"7.5";"A";"10.6";"A";"8.2";"A";"8.0";"A";"9.8";"A";"7.4";"A";"8.5";"A";"9.0";"A"
"2004-T3";"8.5";"A";"7.5";"A";"7.2";"A";"7.0";"A";"9.9";"A";"9.5";"A";"7.5";"A";"10.5";"A";"8.1";"A";"8.0";"A";"9.8";"A";"7.4";"A";"8.5";"A";"8.9";"A"
"2004-T2";"8.4";"A";"7.4";"A";"7.1";"A";"6.9";"A";"9.8";"A";"9.3";"A";"7.5";"A";"10.4";"A";"7.9";"A";"8.0";"A";"9.7";"A";"7.3";"A";"8.4";"A";"8.5";"A"
"2004-T1";"8.6";"A";"7.6";"A";"7.3";"A";"7.2";"A";"10.1";"A";"9.2";"A";"7.7";"A";"10.6";"A";"8.0";"A";"8.1";"A";"9.9";"A";"7.5";"A";"8.6";"A";"8.8";"A"
