"Libellé";"Taux de chômage localisé par région - Île-de-France";"Codes";"Taux de chômage localisé par région - Centre-Val de Loire";"Codes";"Taux de chômage localisé par région - Pays de la Loire";"Codes";"Taux de chômage localisé par région - Bretagne";"Codes";"Taux de chômage localisé par région - Provence-Alpes-Côte d'Azur";"Codes";"Taux de chômage localisé par région - Corse";"Codes";"Taux de chômage localisé par région - Bourgogne-Franche-Comté";"Codes";"Taux de chômage localisé par région - Hauts-de-France";"Codes";"Taux de chômage localisé par région - Grand Est";"Codes";"Taux de chômage localisé par région - Nouvelle-Aquitaine";"Codes";"Taux de chômage localisé par région - Occitanie";"Codes";"Taux de chômage localisé par région - Auvergne-Rhône-Alpes";"Codes";"Taux de chômage localisé par région - France métropolitaine";"Codes";"Taux de chômage localisé par département - Alpes-de-Haute-Provence";"Codes"
"1993-T3";"8.8";"A";"8.8";"A";"9.6";"A";"8.5";"A";"12.7";"A";"11.8";"A";"8.8";"A";"12.2";"A";"8.3";"A";"9.6";"A";"11.0";"A";"9.7";"A";"9.8";"A";"9.3";"A"
"1993-T2";"8.5";"A";"8.5";"A";"9.4";"A";"8.4";"A";"12.4";"A";"11.5";"A";"8.5";"A";"11.7";"A";"8.0";"A";"9.4";"A";"10.7";"A";"9.4";"A";"9.5";"A";"9.2";"A"
"1993-T1";"8.1";"A";"8.1";"A";"9.1";"A";"8.2";"A";"12.0";"A";"11.2";"A";"8.2";"A";"11.2";"A";"7.7";"A";"9.2";"A";"10.6";"A";"9.1";"A";"9.2";"A";"9.0";"A"
"1992-T4";"7.8";"A";"7.9";"A";"8.9";"A";"8.1";"A";"11.7";"A";"10.9";"A";"8.0";"A";"10.9";"A";"7.4";"A";"9.1";"A";"10.4";"A";"8.8";"A";"8.9";"A";"8.7";"A"
"1992-T3";"7.5";"A";"7.7";"A";"8.8";"A";"8.1";"A";"11.5";"A";"10.6";"A";"7.8";"A";"10.8";"A";"7.2";"A";"9.0";"A";"10.3";"A";"8.6";"A";"8.8";"A";"8.5";"A"
"1992-T2";"7.2";"A";"7.5";"A";"8.7";"A";"8.0";"A";"11.1";"A";"10.4";"A";"7.6";"A";"10.6";"A";"7.0";"A";"8.9";"A";"10.1";"A";"8.3";"A";"8.6";"A";"8.4";"A"
"1992-T1";"7.0";"A";"7.3";"A";"8.5";"A";"7.9";"A";"10.8";"A";"10.6";"A";"7.4";"A";"10.4";"A";"6.9";"A";"8.7";"A";"9.9";"A";"8.0";"A";"8.3";"A";"8.1";"A"
"1991-T4";"6.9";"A";"7.0";"A";"8.2";"A";"7.8";"A";"10.5";"A";"10.6";"A";"7.1";"A";"10.1";"A";"6.7";"A";"8.4";"A";"9.6";"A";"7.6";"A";"8.1";"A";"7.7";"A"
"1991-T3";"6.8";"A";"6.8";"A";"8.0";"A";"7.7";"A";"10.1";"A";"10.8";"A";"6.9";"A";"10.0";"A";"6.6";"A";"8.2";"A";"9.4";"A";"7.3";"A";"7.9";"A";"7.4";"A"
"1991-T2";"6.5";"A";"6.5";"A";"7.8";"A";"7.6";"A";"9.8";"A";"10.9";"A";"6.7";"A";"9.7";"A";"6.4";"A";"7.9";"A";"9.1";"A";"7.0";"A";"7.7";"A";"7.1";"A"
"1991-T1";"6.3";"A";"6.3";"A";"7.6";"A";"7.5";"A";"9.7";"A";"10.5";"A";"6.6";"A";"9.7";"A";"6.3";"A";"7.8";"A";"9.0";"A";"6.9";"A";"7.5";"A";"7.0";"A"
"1990-T4";"6.2";"A";"6.4";"A";"7.7";"A";"7.5";"A";"9.7";"A";"10.2";"A";"6.6";"A";"10.1";"A";"6.4";"A";"7.8";"A";"9.0";"A";"6.9";"A";"7.6";"A";"7.2";"A"
"1990-T3";"6.3";"A";"6.4";"A";"7.9";"A";"7.7";"A";"9.6";"A";"9.9";"A";"6.5";"A";"10.2";"A";"6.5";"A";"7.9";"A";"8.9";"A";"6.8";"A";"7.6";"A";"7.3";"A"
"1990-T2";"6.3";"A";"6.4";"A";"7.9";"A";"7.7";"A";"9.6";"A";"9.9";"A";"6.6";"A";"10.2";"A";"6.6";"A";"8.0";"A";"9.1";"A";"6.7";"A";"7.6";"A";"7.2";"A"
"1990-T1";"6.3";"A";"6.6";"A";"8.0";"A";"7.7";"A";"9.4";"A";"9.7";"A";"6.7";"A";"10.1";"A";"6.7";"A";"8.2";"A";"9.1";"A";"6.6";"A";"7.7";"A";"7.0";"A"
"1989-T4";"6.4";"A";"6.8";"A";"8.3";"A";"7.9";"A";"9.3";"A";"9.3";"A";"6.9";"A";"9.9";"A";"6.7";"A";"8.3";"A";"8.9";"A";"6.5";"A";"7.7";"A";"6.7";"A"
"1989-T3";"6.5";"A";"6.9";"A";"8.3";"A";"8.0";"A";"9.4";"A";"9.3";"A";"7.0";"A";"10.0";"A";"6.9";"A";"8.3";"A";"9.0";"A";"6.7";"A";"7.8";"A";"6.6";"A"
"1989-T2";"6.6";"A";"7.0";"A";"8.4";"A";"8.1";"A";"9.4";"A";"9.5";"A";"7.2";"A";"10.0";"A";"7.1";"A";"8.4";"A";"9.0";"A";"6.7";"A";"7.9";"A";"6.6";"A"
"1989-T1";"6.7";"A";"7.2";"A";"8.7";"A";"8.3";"A";"9.6";"A";"9.4";"A";"7.4";"A";"10.3";"A";"7.3";"A";"8.5";"A";"9.0";"A";"6.8";"A";"8.0";"A";"6.8";"A"
"1988-T4";"7.0";"A";"7.4";"A";"8.9";"A";"8.4";"A";"9.8";"A";"9.4";"A";"7.7";"A";"10.5";"A";"7.6";"A";"8.7";"A";"9.2";"A";"7.0";"A";"8.2";"A";"6.7";"A"
"1988-T3";"7.1";"A";"7.6";"A";"9.2";"A";"8.6";"A";"10.0";"A";"9.8";"A";"8.1";"A";"10.7";"A";"7.7";"A";"8.9";"A";"9.3";"A";"7.2";"A";"8.4";"A";"6.8";"A"
"1988-T2";"7.1";"A";"7.6";"A";"9.3";"A";"8.6";"A";"9.9";"A";"9.8";"A";"8.2";"A";"10.7";"A";"7.8";"A";"8.9";"A";"9.3";"A";"7.2";"A";"8.4";"A";"6.8";"A"
"1988-T1";"7.2";"A";"7.8";"A";"9.5";"A";"8.8";"A";"9.9";"A";"10.1";"A";"8.5";"A";"10.9";"A";"7.9";"A";"9.0";"A";"9.3";"A";"7.3";"A";"8.6";"A";"6.9";"A"
"1987-T4";"7.2";"A";"7.9";"A";"9.6";"A";"9.0";"A";"10.0";"A";"10.4";"A";"8.6";"A";"10.9";"A";"8.0";"A";"9.1";"A";"9.3";"A";"7.4";"A";"8.6";"A";"6.9";"A"
"1987-T3";"7.3";"A";"8.1";"A";"9.7";"A";"9.1";"A";"10.0";"A";"10.4";"A";"8.6";"A";"10.9";"A";"8.1";"A";"9.1";"A";"9.3";"A";"7.4";"A";"8.7";"A";"6.9";"A"
"1987-T2";"7.3";"A";"8.3";"A";"9.8";"A";"9.3";"A";"10.1";"A";"10.4";"A";"8.6";"A";"10.9";"A";"8.2";"A";"9.3";"A";"9.4";"A";"7.5";"A";"8.8";"A";"7.1";"A"
"1987-T1";"7.2";"A";"8.2";"A";"9.8";"A";"9.3";"A";"10.2";"A";"10.6";"A";"8.5";"A";"10.9";"A";"8.2";"A";"9.3";"A";"9.4";"A";"7.5";"A";"8.8";"A";"7.3";"A"
"1986-T4";"7.1";"A";"8.1";"A";"9.8";"A";"9.3";"A";"10.2";"A";"10.5";"A";"8.3";"A";"10.8";"A";"8.1";"A";"9.2";"A";"9.3";"A";"7.4";"A";"8.7";"A";"7.4";"A"
"1986-T3";"7.0";"A";"8.0";"A";"9.9";"A";"9.3";"A";"10.1";"A";"10.5";"A";"8.2";"A";"10.7";"A";"8.1";"A";"9.2";"A";"9.3";"A";"7.3";"A";"8.6";"A";"7.5";"A"
"1986-T2";"7.1";"A";"8.0";"A";"9.8";"A";"9.2";"A";"10.1";"A";"10.4";"A";"8.1";"A";"10.6";"A";"8.1";"A";"9.1";"A";"9.2";"A";"7.2";"A";"8.6";"A";"7.4";"A"
"1986-T1";"7.0";"A";"7.9";"A";"9.5";"A";"9.0";"A";"9.9";"A";"10.3";"A";"8.0";"A";"10.3";"A";"8.3";"A";"8.9";"A";"9.0";"A";"7.1";"A";"8.5";"A";"7.1";"A"
"1985-T4";"7.0";"A";"7.9";"A";"9.6";"A";"9.1";"A";"10.1";"A";"10.4";"A";"8.0";"A";"10.3";"A";"8.5";"A";"9.0";"A";"9.1";"A";"7.3";"A";"8.5";"A";"7.3";"A"
"1985-T3";"6.9";"A";"7.9";"A";"9.6";"A";"9.2";"A";"10.2";"A";"10.2";"A";"8.1";"A";"10.4";"A";"8.6";"A";"9.1";"A";"9.3";"A";"7.4";"A";"8.6";"A";"7.4";"A"
"1985-T2";"6.7";"A";"7.8";"A";"9.6";"A";"9.3";"A";"10.1";"A";"10.1";"A";"8.1";"A";"10.4";"A";"8.4";"A";"9.0";"A";"9.4";"A";"7.4";"A";"8.5";"A";"7.5";"A"
"1985-T1";"6.6";"A";"7.8";"A";"9.7";"A";"9.4";"A";"10.1";"A";"10.1";"A";"8.3";"A";"10.6";"A";"8.3";"A";"9.1";"A";"9.4";"A";"7.4";"A";"8.5";"A";"7.4";"A"
"1984-T4";"6.5";"A";"7.7";"A";"9.4";"A";"9.1";"A";"9.9";"A";"10.1";"A";"8.3";"A";"10.5";"A";"8.2";"A";"8.9";"A";"9.2";"A";"7.3";"A";"8.4";"A";"7.3";"A"
"1984-T3";"6.3";"A";"7.5";"A";"9.1";"A";"8.9";"A";"9.6";"A";"10.3";"A";"8.1";"A";"10.4";"A";"8.0";"A";"8.7";"A";"8.9";"A";"7.1";"A";"8.2";"A";"7.0";"A"
"1984-T2";"6.2";"A";"7.2";"A";"8.8";"A";"8.6";"A";"9.6";"A";"10.3";"A";"7.9";"A";"10.0";"A";"7.8";"A";"8.4";"A";"8.8";"A";"6.9";"A";"8.0";"A";"6.7";"A"
"1984-T1";"5.9";"A";"6.8";"A";"8.4";"A";"8.2";"A";"9.4";"A";"9.8";"A";"7.5";"A";"9.5";"A";"7.4";"A";"8.1";"A";"8.5";"A";"6.5";"A";"7.6";"A";"6.6";"A"
"1983-T4";"5.7";"A";"6.5";"A";"7.9";"A";"7.7";"A";"8.7";"A";"9.4";"A";"7.0";"A";"9.0";"A";"7.0";"A";"7.6";"A";"8.0";"A";"6.1";"A";"7.2";"A";"6.4";"A"
"1983-T3";"5.5";"A";"6.1";"A";"7.6";"A";"7.4";"A";"8.4";"A";"9.2";"A";"6.7";"A";"8.6";"A";"6.7";"A";"7.3";"A";"7.7";"A";"5.9";"A";"6.9";"A";"6.0";"A"
"1983-T2";"5.3";"A";"5.8";"A";"7.4";"A";"7.2";"A";"8.4";"A";"9.1";"A";"6.5";"A";"8.3";"A";"6.4";"A";"7.1";"A";"7.6";"A";"5.7";"A";"6.7";"A";"5.9";"A"
"1983-T1";"5.3";"A";"5.8";"A";"7.3";"A";"7.1";"A";"8.4";"A";"8.9";"A";"6.5";"A";"8.2";"A";"6.4";"A";"7.1";"A";"7.5";"A";"5.7";"A";"6.7";"A";"5.9";"A"
"1982-T4";"5.4";"A";"5.8";"A";"7.3";"A";"7.2";"A";"8.3";"A";"8.4";"A";"6.5";"A";"8.3";"A";"6.4";"A";"7.1";"A";"7.6";"A";"5.8";"A";"6.7";"A";"5.8";"A"
"1982-T3";"5.4";"A";"5.7";"A";"7.3";"A";"7.0";"A";"8.1";"A";"7.9";"A";"6.4";"A";"8.3";"A";"6.3";"A";"7.1";"A";"7.5";"A";"5.7";"A";"6.7";"A";"5.5";"A"
"1982-T2";"5.3";"A";"5.5";"A";"7.0";"A";"6.8";"A";"7.8";"A";"7.6";"A";"6.2";"A";"8.2";"A";"6.2";"A";"6.9";"A";"7.2";"A";"5.5";"A";"6.5";"A";"5.4";"A"
"1982-T1";"5.3";"A";"5.4";"A";"6.9";"A";"6.6";"A";"7.7";"A";"7.4";"A";"6.1";"A";"8.0";"A";"6.0";"A";"6.7";"A";"7.0";"A";"5.4";"A";"6.4";"A";"5.3";"A"
